"ZIP5","Electric","Total_Cars","Median_Household_Income","White_perc","BachOrHigher_perc","Zillow_Home_Value_Index","Total_Population","ZIP3","ev_perc","non_white","car_density","maj_white"
94087,2310,38859,178128,33.6,73.7,2338870.09,59771,"940",5.94456882575465,66.4,650.131334593699,0
94549,1330,23215,190250,74.9,73.5,1909387.5,28545,"945",5.72905449063106,25.1,813.277281485374,1
94070,1590,25936,205912,63.4,68,2156217.7,31477,"940",6.13047501542258,36.6,823.966705848715,1
95033,476,8534,161971,82.7,67.1,1381887.42,9767,"950",5.57768924302789,17.3,873.758574792669,1
91604,1178,21682,124271,70.7,66.5,1593906.64,32680,"916",5.43307812932386,29.3,663.463892288862,1
90024,994,17449,67422,49.6,72.9,1312969.89,50611,"900",5.69660152444266,50.4,344.766947896702,0
94107,904,15346,164289,50.3,76.1,994409.78,28607,"941",5.89078587254008,49.7,536.442129548712,1
94041,590,10298,160328,43.2,74.6,2009119.3,14862,"940",5.72926781899398,56.8,692.908087740546,0
90254,772,14702,144388,71.8,77.9,2088823.34,19787,"902",5.25098626037274,28.2,743.013089402133,1
94010,2148,34733,172009,53.1,69.3,3081573.42,43644,"940",6.18432038695189,46.9,795.8253139034,1
92782,1220,21342,123909,34.9,67.2,1084941.82,30123,"927",5.71642770124637,65.1,708.495169803804,0
94305,212,3822,67224,48.8,93.7,2870212.14,16469,"943",5.54683411826269,51.2,232.072378407918,0
94937,49,972,78077,80.3,54.9,1367372.61,1109,"949",5.04115226337449,19.7,876.465284039675,1
90291,840,16869,105871,66.4,69.7,1897042.64,25685,"902",4.97954828383425,33.6,656.764648627604,1
90292,991,18062,137813,66.7,72.4,1229536.75,23951,"902",5.48665707009191,33.3,754.123001127302,1
90064,1076,20011,109357,55.9,69.8,1744978.54,25161,"900",5.37704262655539,44.1,795.318151106872,1
90069,792,14649,98440,76.3,68.8,1208949.52,20185,"900",5.40651238992423,23.7,725.736933366361,1
90405,923,18869,97010,65.8,68.6,1756470.43,27367,"904",4.89162117759288,34.2,689.480030693901,1
94002,1223,21309,175694,49.1,69,2043331.95,28201,"940",5.73935895630954,50.9,755.611503138187,0
95134,986,18343,166828,20.5,76.6,1034697.74,31172,"951",5.37534754402224,79.5,588.444758116258,0
90013,248,4490,22291,28.5,37,634129.4,13413,"900",5.52338530066815,71.5,334.749869529561,0
94538,3016,49201,130947,17,52.7,1159563.11,66474,"945",6.12995670819699,83,740.154045190601,0
93108,543,9479,192303,81.5,75.3,4246368.38,11097,"931",5.72845236839329,18.5,854.194827430837,1
90212,469,9576,91663,73.1,67.9,2261239.45,10999,"902",4.89766081871345,26.9,870.624602236567,1
92660,1682,33087,142500,77.4,70.8,2512905.36,36100,"926",5.08356756430018,22.6,916.537396121884,1
90275,1625,34059,158952,49.3,68.5,1719187.43,42417,"902",4.77113244663672,50.7,802.956361836056,0
91381,725,15048,144476,41.3,56.7,1020242.67,20193,"913",4.81791600212653,58.7,745.20873570049,0
91326,1481,30005,130322,42.1,56.5,1123946.52,36079,"913",4.93584402599567,57.9,831.64721860362,0
92037,1640,30689,125636,71.5,75.1,1984207,37505,"920",5.34393430870996,28.5,818.264231435808,1
94960,583,11937,156169,81.5,73,1574019.92,15871,"949",4.88397419787216,18.5,752.126520068049,1
95054,1013,18411,171799,20,65.9,1353642.48,24404,"950",5.50214545652056,80,754.425504015735,0
