"ZIP","ZIP3","EV_perc","BachOrHigher_perc","Median_Household_Income","Zillow_Home_Value_Index","Latino_perc","White_perc","Asian_perc","Black_perc"
92011,"920",5.56,63.6,121353,1409274.03,17.9,64.4,9.3,1.6
92656,"926",5.54,55.8,121275,842530.99,20.1,56.1,15.5,2.5
94703,"947",5.53,69.9,95125,1247975.69,14,54.6,14.8,10.4
90039,"900",5.51,54.5,99226,1274229.45,32.7,42,18.3,1.3
90803,"908",5.5,56,98428,1215412.17,17.8,65.8,7.9,3.1
94592,"945",5.48,58.8,148125,724013.07,14.6,32.8,39.2,10.2
91024,"910",5.48,63.4,116884,1295381.91,14.5,61.3,15.9,4.2
92604,"926",5.47,63.9,114575,1066916.73,12.2,45.9,35.8,1.3
91602,"916",5.46,55.1,83866,1040752.21,18,59.4,10.2,7
91708,"917",5.44,33.8,98161,679868.35,29.7,23.3,29.7,12
91362,"913",5.41,54.1,127279,1099003.76,17.4,65.8,10.1,2
95119,"951",5.38,54.8,133017,1279553.86,24.4,37.5,29.6,1.8
94030,"940",5.37,51.2,141399,1824831.24,10.1,33.9,47.8,0.4
94903,"949",5.37,55.5,111423,1207393.48,16.3,67.4,8.3,2.6
91207,"912",5.37,51.4,103505,1506279.49,8.9,75.8,9.3,0.8
91307,"913",5.36,52.5,125343,946127.74,15.4,58.1,17.4,3.9
91208,"912",5.35,57.4,107000,1344506.41,14.8,61.8,13,0.2
94598,"945",5.31,74.1,166534,1348570.95,10.7,60.7,18.8,2.2
94089,"940",5.29,54.5,136983,1301554.87,23.7,24.7,46.4,1.3
94612,"946",5.28,57,65536,649328.28,9.7,32.2,25,24.5
95618,"956",5.27,77.1,105343,823073.11,17.2,53.2,21.9,1.7
94709,"947",5.26,79.2,79808,1240280.15,11.8,50.9,28.6,3.1
92648,"926",5.25,48.9,105759,1345478.65,16.2,64.7,11.7,0.7
90027,"900",5.25,57.1,78356,1724085.14,22.5,58.8,12.2,2.6
94930,"949",5.23,66.1,114811,1158440.17,8.4,83.2,3.8,0.8
94110,"941",5.23,60.2,143938,1255266.61,33.2,42.4,14.8,3.5
91107,"911",5.23,58.2,111084,1155606.65,27.5,38.9,23.8,4.8
95131,"951",5.22,57.2,151389,1253452.83,12.8,10.7,71.6,2.5
95616,"956",5.21,76.7,66205,847193.07,13.6,50.4,25.9,2.3
91007,"910",5.21,51.4,87339,1261836.13,17.3,22.3,54,1.8
90021,"900",5.19,16.5,25364,882029.82,54.1,19.1,6.2,17
